,date,team,goals,xg,pass_success_rate,possession,tot_duels_win_rate,sobotr,cornwsr,fkwsr,pen_conversion_rate,acc_cross_rate,succ_for_passes_rate,succ_back_passes_rate,succ_lat_passes_rate,succ_long_passes_rate,succ_fin_third_passes_rate,succ_prog_passes_rate,succ_smart_passes_rate,succ_throw_ins_rate,mean_shot_dist,mean_pass_len,ppda,passes_per_minute,goal_conversion_rate,touches_in_box_per_minute,recoveries_per_minute,shots_on_target_rate
0,11/3/24, Rutgers Scarlet Knights,1,1.14,86.78,49.33,46.64,0.0,0.0,66.67,0,12.5,79.35,98.48,88.4,61.4,76.19,78.05,50.0,92.86,16.83,17.94,14.29,4.619469026548672,0.1111111111111111,0.1415929203539823,0.7876106194690266,0.1111111111111111
1,10/30/24, Rutgers Scarlet Knights,3,2.63,74.5,38.59,51.16,33.33,33.33,25.0,100,40.0,64.1,91.67,83.33,52.63,60.0,57.5,0.0,75.0,18.53,22.5,10.1,2.4958677685950414,0.23076923076923078,0.18181818181818182,0.71900826446281,0.5384615384615384
2,10/26/24, Rutgers Scarlet Knights,0,0.71,77.75,55.14,44.87,0.0,0.0,0.0,0,31.58,63.79,94.0,86.39,43.75,49.15,65.79,0.0,80.0,17.79,21.51,5.02,4.316831683168317,0.0,0.09900990099009901,1.0297029702970297,0.2
3,10/19/24, Rutgers Scarlet Knights,0,1.63,85.5,54.42,49.3,50.0,0.0,100.0,0,44.44,73.86,94.38,91.89,57.14,74.07,80.2,100.0,94.44,18.2,20.87,11.75,5.363636363636363,0.0,0.25252525252525254,0.9292929292929293,0.47058823529411764
4,10/12/24, Rutgers Scarlet Knights,1,1.46,84.17,55.25,42.81,10.0,16.67,33.33,0,31.25,77.96,95.59,89.62,60.78,79.66,70.97,0.0,85.71,20.24,20.35,6.61,4.666666666666667,0.058823529411764705,0.25225225225225223,1.018018018018018,0.17647058823529413
5,10/8/24, Rutgers Scarlet Knights,1,1.34,80.1,44.45,50.68,0.0,50.0,0.0,0,55.56,65.25,96.3,87.68,57.14,78.26,68.12,0.0,84.21,21.67,18.93,10.09,3.98019801980198,0.0625,0.21782178217821782,1.00990099009901,0.25
6,10/5/24, Rutgers Scarlet Knights,3,4.18,83.26,56.75,42.08,50.0,42.86,50.0,100,22.22,73.62,100.0,86.96,48.84,75.86,73.81,25.0,65.22,17.04,20.93,8.29,3.6638655462184873,0.13043478260869565,0.2184873949579832,0.6302521008403361,0.6086956521739131
7,9/28/24, Rutgers Scarlet Knights,1,1.4,83.04,48.08,52.5,22.22,36.36,66.67,0,16.67,71.69,100.0,91.06,48.15,71.43,81.0,0.0,92.86,20.12,23.01,11.27,4.09009009009009,0.05,0.23423423423423423,0.7747747747747747,0.25
8,9/23/24, Rutgers Scarlet Knights,0,1.64,71.14,44.19,49.79,25.0,66.67,0.0,0,14.29,57.05,97.56,80.17,58.18,52.24,61.54,0.0,80.65,18.4,21.17,10.06,3.09009009009009,0.0,0.11711711711711711,0.9459459459459459,0.4117647058823529
9,9/18/24, Rutgers Scarlet Knights,1,3.11,82.6,62.9,45.77,44.44,66.67,75.0,0,35.29,70.27,94.29,89.89,60.71,64.71,77.01,0.0,77.14,16.92,21.63,7.0,4.165137614678899,0.04,0.22018348623853212,0.9908256880733946,0.44
